ID;Casa;Precio;Comuna;Antiguedad;Metros_totales;Metros_utiles;Dormitorios;Baños;Pisos;Estacionamiento;Piscina;Metro_dist;Super_dist;;
62594;0;5800;REIN;7;74;74;2;2;1;2;1;1;1;;
62819;0;3055;SANT;5;61;61;2;1;1;0;1;1;1;;
63396;0;2490;SANT;6;47;47;2;1;1;0;1;1;1;;
63729;0;2900;NUNO;2;43;43;1;1;1;1;1;1;1;;
64059;0;4600;NUNO;16;60;60;2;2;1;0;1;1;1;;
64666;0;3090;JOAQ;13;60;60;2;2;1;1;1;1;1;;
5567;0;3295;SANT;43;48;48;1;1;1;0;0;1;1;;
689488;0;2050;SANT;7;30;30;1;1;1;0;1;1;1;;
12321;1;3933;RENC;56;348;348;3;1;1;5;0;0;1;;
40035;1;7700;SANT;70;196;146;4;3;1;1;0;1;1;;
NF01891;1;8034;MIGU;70;300;140;4;2;1;2;0;1;1;;
NF0873;1;15990;FLOR;7;1184;202;5;4;1;10;1;0;1;;
9124;1;1787;GRAN;43;60;65;3;1;2;1;0;1;1;;
BQ09559;1;23900;BARN;20;695;212;3;3;3;2;1;0;0;;
12314;1;5350;FLOR;10;107;80;3;2;1;1;0;0;1;;
38225;0;3990;SANT;16;70;68;3;2;1;2;1;1;1;;
3810;0;6600;PROV;53;100;97;3;2;2;1;0;1;1;;
1780;0;11400;VITA;38;119;106;3;3;1;1;0;0;1;;
47253;0;3500;SANT;8;65;60;2;2;1;1;1;1;1;;
12768;0;1990;SANT;16;22;19;1;1;1;0;0;1;1;;
12767;0;2390;SANT;12;22;22;1;1;1;1;1;1;1;;
9002035-4771;0;2600;MAIP;6;53;43;2;2;1;1;1;1;1;;
9002035-4765;0;4100;MIGU;2;64;64;2;2;1;1;1;1;1;;
1028061103-154;0;3800;MIGU;4;65;54;2;2;1;1;1;1;1;;
1028024094-86;0;3250;SANT;15;45;42;1;1;1;1;1;1;1;;
1028079042-91;0;6950;COND;18;76;70;2;2;1;1;0;1;1;;
10621;1;16690;REIN;10;331;157;4;4;2;3;1;0;1;;
12503;0;7750;PROV;3;80;74;2;2;1;2;0;1;1;;
5244;1;15600;BARN;15;316;150;4;3;2;2;1;0;0;;
8916;0;4179;MIGU;10;84;79;3;2;1;1;1;1;1;;
8215;0;7386;PROV;43;83;68;3;2;1;1;0;0;1;;
10415;0;2850;FLOR;2;47;45;2;2;1;1;1;1;1;;
1028081046-122;0;4900;MIGU;14;69;69;2;2;1;1;1;1;1;;
1028061103-153;0;7920;PROV;6;87;77;2;2;1;1;1;1;1;;
178410;0;1850;SANT;7;48;48;1;1;1;0;1;1;1;;
394977;0;1940;SANT;15;29;29;1;1;1;0;1;1;1;;
9002035-4780;1;3650;HURT;3;142;65;3;2;2;2;0;1;1;;
LF24363;1;23000;DEHE;32;600;250;4;3;2;3;1;0;1;;
146;1;4150;HUEC;43;189;97;2;1;1;2;0;1;1;;
3571;1;18900;BARN;20;430;198;5;3;2;2;1;0;0;;
176455;0;3600;PROV;18;48;41;1;1;1;0;1;1;1;;
178511;1;2650;PAIN;23;131;52;3;1;2;2;0;1;1;;
392280;1;9500;JOSE;11;372;139;4;3;1;2;1;0;0;;
8187;1;4580;PENA;3;140;93;3;3;2;3;0;1;1;;
8188;1;4150;PENA;3;140;80;3;3;2;1;0;0;1;;
8182;1;6250;BUIN;8;180;97;3;3;2;1;0;0;1;;
40527;1;2665;PAIN;8;135;135;3;1;1;1;0;1;1;;
89644;1;4075;ALTO;26;120;120;4;3;2;1;0;1;1;;
I76-3-3-1;1;3700;ALTO;6;120;76;3;3;2;1;0;1;1;;
60501;1;2689;ALTO;32;112;90;4;1;1;1;0;1;1;;
60502;1;3497;ALTO;32;137;70;4;2;1;2;0;1;1;;
7429;1;2569;ALTO;17;70;66;3;2;2;2;0;1;1;;
MW4990;1;5600;ALTO;11;181;121;5;3;3;2;0;1;1;;
40503;1;1030;BUIN;5;103;58;3;1;2;1;0;0;1;;
40611;1;6800;BUIN;10;220;98;3;3;2;3;1;0;1;;
40610;1;3200;BUIN;8;132;56;3;1;1;1;0;1;1;;
10541;1;1795;BUIN;13;72;46;2;1;2;2;0;0;1;;
34329;0;2535;ALTO;10;60;60;3;1;1;1;1;0;1;;
394843;0;2500;ALTO;7;47;47;2;1;1;0;1;0;1;;
BI01766;0;9200;VITA;40;110;95;2;2;1;2;0;0;1;;
392445;0;3980;RECO;42;82;82;3;1;1;0;0;1;1;;
5957;0;3500;JOAQ;2;41;40;2;1;1;1;1;1;1;;
210505;0;4400;PROV;42;77;77;3;2;1;0;0;1;1;;
1028018407-4;0;5600;PROV;51;76;64;3;2;1;1;0;1;1;;
LZ8490;0;8500;COND;7;159;69;2;2;1;1;1;1;1;;
1028037167-253;0;6500;PROV;9;78;74;2;2;1;1;0;1;1;;
1012;1;2812;NAVI;19;138;97;4;2;2;2;0;0;0;;
554;1;2850;NAVI;43;122;25;2;1;1;3;0;0;1;;
41729;1;5268;NAVI;50;438;167;5;2;1;3;1;0;1;;
1028037171-21;1;2200;CONC;8;128;56;3;1;2;1;0;1;1;;
4431;1;6550;CONC;43;380;185;6;2;1;5;0;1;1;;
1028089015-51;1;1990;CONC;26;106;60;3;2;1;1;0;1;1;;
390648;1;4990;CONC;33;348;187;5;2;2;3;0;1;1;;
101007;1;4400;CERR;10;131;114;4;3;3;1;0;0;1;;
89449;1;3200;CERR;13;110;75;3;1;2;1;0;1;1;;
63934;1;4930;CERR;10;135;126;4;3;3;1;0;1;1;;
Cerillos2020;1;4250;CERR;18;176;92;3;2;2;2;0;0;1;;
5300;1;5650;CURA;11;1001;147;5;2;1;6;1;0;0;;
2223;1;3049;BOSQ;43;86;62;2;1;1;3;0;1;1;;
55605;1;3200;BOSQ;42;143;108;3;1;2;3;0;1;1;;
0;1;2830;BOSQ;8;134;85;3;1;1;2;0;0;1;;
395593;1;5000;MONT;4;5105;90;2;1;1;1;0;0;0;;
5115;1;3820;MONT;9;230;130;6;2;2;2;0;1;0;;
57691;1;5900;MONT;12;650;112;4;3;2;3;1;1;1;;
HP-13863;1;2475;CENT;63;126;58;2;1;1;0;0;1;1;;
41326;1;2576;CENT;56;162;149;3;1;1;4;0;1;0;;